away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
CHC,COL,2024-03-21,20:10,D,Salt River Fields at Talking Stick,outdoor,0,1,9,5,5,2,CHCCOL20240321D
HOU,STL,2024-03-21,17:05,D,Roger Dean Stadium,outdoor,0,2,12,4,9,1,HOUSTL20240321D
CWS,KC,2024-03-21,20:05,D,Surprise Stadium,outdoor,0,0,9,8,3,3,CWSKC20240321D
KC,CLE,2024-03-21,20:05,D,Goodyear Ballpark,outdoor,1,1,6,14,5,8,KCCLE20240321D
SD,LAD,2024-03-21,10:05,N,Gocheok Sky Dome,indoor,0,2,18,16,15,11,SDLAD20240321N
TB,PHI,2024-03-21,17:05,D,BayCare Ballpark,outdoor,2,1,11,8,6,5,TBPHI20240321D
CIN,SEA,2024-03-22,01:40,N,Peoria Sports Complex,outdoor,1,1,8,6,6,7,CINSEA20240322N
SF,MIL,2024-03-22,01:10,N,American Family Fields of Phoenix,outdoor,2,1,9,5,7,6,SFMIL20240322N
NYM,DET,2024-03-21,17:05,D,Publix Field at Joker Marchant Stadium,outdoor,2,1,7,8,10,5,NYMDET20240321D
TOR,PIT,2024-03-21,22:05,N,LECOM Park,outdoor,0,0,8,5,3,2,TORPIT20240321N
SF,CHC,2024-03-22,20:05,D,Sloan Park,outdoor,0,1,10,7,7,3,SFCHC20240322D
OAK,CWS,2024-03-22,20:05,D,Camelback Ranch,outdoor,0,0,7,12,2,8,OAKCWS20240322D
ATL,MIN,2024-03-22,17:05,D,CenturyLink Sports Complex,outdoor,0,0,0,0,0,0,ATLMIN20240322D
BOS,TOR,2024-03-22,17:07,D,TD Ballpark,outdoor,0,0,3,7,1,5,BOSTOR20240322D
SEA,AZ,2024-03-22,20:10,D,Salt River Fields at Talking Stick,outdoor,3,1,9,6,3,3,SEAAZ20240322D
